High_Risk_Job,High_Risk_Domain,Alternative_Job,Alternative_Domain,Similarity
Communications Manager,Communication & PR,Channel Marketing Manager,Communication & PR,0.7874
Communications Manager,Communication & PR,Senior Marketing Manager,Communication & PR,0.7849
Communications Manager,Communication & PR,Business Development Manager,Communication & PR,0.7744
Data Collector,Data & IT,Information Architect,Data & IT,0.725
Data Collector,Data & IT,Scanner,Data & IT,0.7018
Data Collector,Data & IT,Information Security Manager,Data & IT,0.6929
Data Entry,Administrative & Clerical,Inside Sales Representative,Administrative & Clerical,0.6736
Data Entry,Administrative & Clerical,It Business Analyst,Administrative & Clerical,0.6591
Data Entry,Administrative & Clerical,Insurance Verification Specialist,Administrative & Clerical,0.6571
Mail Clerk,Leadership & Strategy,Postal Clerk,Leadership & Strategy,0.8956
Mail Clerk,Leadership & Strategy,Grocery Clerk,Leadership & Strategy,0.8583
Mail Clerk,Leadership & Strategy,Bakery Clerk,Leadership & Strategy,0.8442
Compliance Officer,Medical & Healthcare,Compliance Specialist,Medical & Healthcare,0.9303
Compliance Officer,Medical & Healthcare,Credit Officer,Medical & Healthcare,0.8375
Compliance Officer,Medical & Healthcare,Legal Officer,Medical & Healthcare,0.8231
Chief Executive Officer (CEO),Supply Chain & Logistics,Chief Engineer,Supply Chain & Logistics,0.8217
Chief Executive Officer (CEO),Supply Chain & Logistics,Pmo Manager,Supply Chain & Logistics,0.7865
Chief Executive Officer (CEO),Supply Chain & Logistics,Editor In Chief,Supply Chain & Logistics,0.7863
Therapist,Law Enforcement,Respiratory Therapist,Law Enforcement,0.7827
Therapist,Law Enforcement,Specialist,Law Enforcement,0.769
Therapist,Law Enforcement,Guidance Counselor,Law Enforcement,0.7676
Chief Strategy Officer,Construction,Chief Development Officer,Construction,0.8704
Chief Strategy Officer,Construction,Animal Control Officer,Construction,0.7719
Chief Strategy Officer,Construction,Contracts Manager,Construction,0.7621
Admin,Sales & Marketing,Senior Database Administrator,Sales & Marketing,0.8179
Admin,Sales & Marketing,Account Administrator,Sales & Marketing,0.8147
Admin,Sales & Marketing,Network Systems Administrator,Sales & Marketing,0.7988
General Clerk,Hospitality,Payroll Clerk,Hospitality,0.8501
General Clerk,Hospitality,Front Office Clerk,Hospitality,0.8407
General Clerk,Hospitality,Medical Clerk,Hospitality,0.8097
Mail Handler,Communication & PR,Operations Manager,Communication & PR,0.7053
Mail Handler,Communication & PR,Supply Chain Coordinator,Communication & PR,0.6869
Mail Handler,Communication & PR,Receiving Clerk,Communication & PR,0.6825
Data Clerk,Data & IT,Sales Assistant,Data & IT,0.7646
Data Clerk,Data & IT,Sales Supervisor,Data & IT,0.753
Data Clerk,Data & IT,Information Architect,Data & IT,0.7392
Data Entry Clerk,Administrative & Clerical,Inside Sales Representative,Administrative & Clerical,0.7252
Data Entry Clerk,Administrative & Clerical,Insurance Verification Specialist,Administrative & Clerical,0.7166
Data Entry Clerk,Administrative & Clerical,Outside Sales Representative,Administrative & Clerical,0.7059
Data Entry Operator,Leadership & Strategy,Data Analyst,Leadership & Strategy,0.6768
Data Entry Operator,Leadership & Strategy,Integration Specialist,Leadership & Strategy,0.6681
Data Entry Operator,Leadership & Strategy,Staff Accountant,Leadership & Strategy,0.6601
Data Entry Specialist,Medical & Healthcare,Investment Specialist,Medical & Healthcare,0.7533
Data Entry Specialist,Medical & Healthcare,Recruitment Consultant,Medical & Healthcare,0.7464
Data Entry Specialist,Medical & Healthcare,Junior Business Analyst,Medical & Healthcare,0.7395
Medical Transcriptionist,Supply Chain & Logistics,Vascular Technician,Supply Chain & Logistics,0.7636
Medical Transcriptionist,Supply Chain & Logistics,Facility Technician,Supply Chain & Logistics,0.7623
Medical Transcriptionist,Supply Chain & Logistics,Communication Technician,Supply Chain & Logistics,0.7584
Street Sweeper,Law Enforcement,House Cleaner,Law Enforcement,0.7656
Street Sweeper,Law Enforcement,Operations Clerk,Law Enforcement,0.7462
Street Sweeper,Law Enforcement,Jailer,Law Enforcement,0.737
Supply Clerk,Construction,Procurement Clerk,Construction,0.8975
Supply Clerk,Construction,Clerk,Construction,0.8714
Supply Clerk,Construction,Inventory Control Clerk,Construction,0.8477
Warehouse Worker,Sales & Marketing,Warehouse Manager,Sales & Marketing,0.9136
Warehouse Worker,Sales & Marketing,Construction Laborer,Sales & Marketing,0.8328
Warehouse Worker,Sales & Marketing,Operations Supervisor,Sales & Marketing,0.8102
Web Search Evaluator,Hospitality,Seo Consultant,Hospitality,0.7298
Web Search Evaluator,Hospitality,Validation Engineer,Hospitality,0.6521
Web Search Evaluator,Hospitality,Asp.Net Developer,Hospitality,0.6503
Development Manager,Communication & PR,Software Manager,Communication & PR,0.8621
Development Manager,Communication & PR,Business Development Manager,Communication & PR,0.8417
Development Manager,Communication & PR,Infrastructure Project Manager,Communication & PR,0.8267
Delivery Driver,Data & IT,Delivery Manager,Data & IT,0.8983
Delivery Driver,Data & IT,Supply Coordinator,Data & IT,0.7813
Delivery Driver,Data & IT,Test Driver,Data & IT,0.7799
Chief Security Officer,Administrative & Clerical,Procurement Officer,Administrative & Clerical,0.8135
Chief Security Officer,Administrative & Clerical,Information Security Consultant,Administrative & Clerical,0.7984
